"Date","Guinea","Liberia","Nigeria","Sierra Leone","Spain","United States"
"2014-03-22",49,,,,,
"2014-03-24",86,,,,,
"2014-03-25",86,,,,,
"2014-03-26",86,,,,,
"2014-03-27",103,8,,6,,
"2014-03-28",112,3,,2,,
"2014-03-29",112,7,,,,
"2014-03-31",122,8,,2,,
"2014-04-01",127,8,,2,,
"2014-04-04",143,18,,2,,
"2014-04-07",151,21,,2,,
"2014-04-09",158,25,,2,,
"2014-04-11",159,26,,2,,
"2014-04-14",168,,,,,
"2014-04-15",,,,12,,
"2014-04-16",197,27,,,,
"2014-04-17",203,27,,,,
"2014-04-20",208,,,,,
"2014-04-21",,34,,,,
"2014-04-22",,,,0,,
"2014-04-23",218,,,0,,
"2014-04-24",,35,,0,,
"2014-04-26",224,,,0,,
"2014-05-01",226,13,,0,,
"2014-05-03",231,13,,0,,
"2014-05-05",235,13,,0,,
"2014-05-07",236,13,,0,,
"2014-05-10",233,12,,0,,
"2014-05-12",248,12,,0,,
"2014-05-23",258,12,,0,,
"2014-05-27",281,12,,16,,
"2014-05-28",291,13,,50,,
"2014-06-01",328,13,,79,,
"2014-06-03",344,13,,,,
"2014-06-05",,13,,81,,
"2014-06-10",351,13,,89,,
"2014-06-16",398,33,,,,
"2014-06-17",,,,97,,
"2014-06-18",390,,,136,,
"2014-06-19",,41,,,,
"2014-06-20",390,,,158,,
"2014-06-22",,51,,,,
"2014-06-30",413,107,,239,,
"2014-07-02",412,115,,252,,
"2014-07-06",408,131,,305,,
"2014-07-08",409,142,,337,,
"2014-07-12",406,172,,386,,
"2014-07-14",411,174,,397,,
"2014-07-17",410,196,,442,,
"2014-07-20",415,224,,454,,
"2014-07-23",427,249,0,525,,
"2014-07-27",460,329,1,533,,
"2014-07-30",472,391,3,574,,
"2014-08-01",485,468,4,646,,
"2014-08-04",495,516,9,691,,
"2014-08-06",495,554,13,717,,
"2014-08-09",506,599,13,730,,
"2014-08-11",510,670,12,783,,
"2014-08-13",519,786,12,810,,
"2014-08-16",543,834,15,848,,
"2014-08-18",579,972,15,907,,
"2014-08-20",607,1082,16,910,,
"2014-08-26",648,1378,17,1026,,
"2014-08-31",771,1698,21,1216,,
"2014-09-05",812,1871,22,1261,,
"2014-09-07",861,2081,21,1424,,
"2014-09-09",,2407,,,,
"2014-09-10",899,,21,1478,,
"2014-09-13",936,,21,1620,,
"2014-09-14",942,2710,,1673,,
"2014-09-17",,3022,,,,
"2014-09-19",1008,,,,,
"2014-09-20",,,,1813,,
"2014-09-21",1022,3280,20,1940,,
"2014-09-23",1074,3458,20,2021,,
"2014-09-28",1157,3696,20,2304,,
"2014-10-01",1199,3834,20,2437,,1
"2014-10-04",,3924,,,,
"2014-10-05",1298,,20,2789,,1
"2014-10-07",1350,4076,,,,
"2014-10-08",,,20,2950,1,1
"2014-10-11",,4249,,,,
"2014-10-12",1472,,20,3252,1,2
"2014-10-13",,4262,,,,
"2014-10-14",1519,,20,3410,1,3
"2014-10-18",,4665,,,,
"2014-10-19",1540,,20,3706,1,3
"2014-10-21",1553,,,,,
"2014-10-22",,,,3896,1,4
"2014-10-25",,6535,,,,
"2014-10-27",1906,,20,5235,1,4
"2014-10-29",1667,,20,5338,1,4
"2014-10-31",,6525,,,,
"2014-11-02",1731,,20,4759,1,4
"2014-11-03",1760,,,,,
"2014-11-04",,6619,20,4862,1,4
"2014-11-08",,6822,,,,
"2014-11-09",1878,,20,5368,1,4
"2014-11-10",,6878,,,,
"2014-11-11",1919,,20,5586,1,4
"2014-11-15",,7069,,,,
"2014-11-16",1971,,20,6073,1,4
"2014-11-18",2047,7082,20,6190,1,4
"2014-11-22",,7168,,,,
"2014-11-23",2134,,20,6599,1,4

Ebola: Case counts and deaths from the World Health Organization and WHO situation reports

Source: https://github.com/cmrivers/ebola

